title,author,subject,year,abstract,tags,availability
AsiaSim 2013,Gary Tan; Gee Kin Yeo; Stephen John Turner,Software Architecture,2013,Topics: software architecture,software architecture,available
Intrusion detection in distributed systems,Peng Ning; Sushil Jajodia; Xiaoyang Sean Wang,Software Architecture,2003,Topics: software architecture,software architecture,available
Spyware and Adware,John Aycock,Software Architecture,2008,Topics: software architecture,software architecture,unavailable
BPEL Cookbook,Stany Blanvalet,Software Architecture,2006,Topics: software architecture,software architecture,available
The White House Is Our House,Inc. Autodesk Press; White House Historical Association,Software Architecture,1999,Topics: software architecture,software architecture,unavailable
ICICIC 2006,"International Conference on Innovative Computing, Information and Control (1st 2006 Beijing, China)",Software Architecture,2006,Topics: software architecture,software architecture,available
Euro-Par 2008 – Parallel Processing,"Hutchison, David - undifferentiated",Software Architecture,2008,Topics: software architecture,software architecture,available
Security for service oriented architectures,"Williams, Walter (Telecommunications engineer)",Software Architecture,2014,Topics: software architecture,software architecture,unavailable
Microsoft Virtual server 2005,Janique Carbone; Robert Larson; Microsoft Press,Software Architecture,2007,Topics: software architecture,software architecture,available
The decision model,Barbara Von Halle,Software Architecture,2010,Topics: software architecture,software architecture,available
Parallel and Distributed Processing,Jos Rolim; Frank Mueller; Albert Y. Zomaya,Software Architecture,1999,Topics: software architecture,software architecture,unavailable
High Performance Computing,Constantine Polychronopoulos; Kazuki Joe Akira Fukuda; Shinji Tomita,Software Architecture,1999,Topics: software architecture,software architecture,available
Next-Generation Business Intelligence Software with Silverlight 3,Bart Czernicki,Software Architecture,2010,Topics: software architecture,software architecture,available
ABC's of Architectural and Interior Design Drafting with an Introduction to AutoCAD 2000,Tony Cook; Robin Prater,Software Architecture,2000,Topics: software architecture,software architecture,available
Euro-Par 2007 - parallel processing,"International EURO-PAR Conference (13th 2007 Rennes, France)",Software Architecture,2007,Topics: software architecture,software architecture,available
GeoSensor Networks,"Hutchison, David - undifferentiated",Software Architecture,2009,Topics: software architecture,software architecture,unavailable
Architecture of Computing Systems - ARCS 2010,C. Müller-Schloer,Software Architecture,2010,Topics: software architecture,software architecture,available
The geometry of ships,John S. Letcher,Software Architecture,2009,Topics: software architecture,software architecture,available
Service-Oriented Computing,Alessio LOMUSCIO; Surya Nepal; Fabio Patrizi,Software Architecture,2014,Topics: software architecture,software architecture,unavailable
Service-Oriented Computing - ICSOC 2011 Workshops,George Pallis,Software Architecture,2012,Topics: software architecture,software architecture,available
A+ Certification DVD CertTrainer,Syngress Media Inc,Software Architecture,2001,Topics: software architecture,software architecture,available
"Reconfigurable Computing: Architectures, Tools and Applications",Andreas Koch,Software Architecture,2011,Topics: software architecture,software architecture,available
Video Processing in the Cloud,Rafael Silva Pereira,Software Architecture,2011,Topics: software architecture,software architecture,available
Modelling Foundations and Applications,Robert B. France,Software Architecture,2011,Topics: software architecture,software architecture,available
"Protocol specification, testing and verification, IV","IFIP WG 6.1 International Workshop on Protocol Specification, Testing and Verification (4th 1984 Skytop Lodge, Pa.); Yechiam Yemini; Robert Strom",Software Architecture,1985,Topics: software architecture,software architecture,available
"The Blue Rider in the Lenbachhaus, Munich (Prestel)",Unknown,Software Architecture,1997,Topics: software architecture,software architecture,available
C# COM+ Programming,Derek Beyer,Software Architecture,2001,Topics: software architecture,software architecture,unavailable
Agents and Peer-to-Peer Computing (vol. # 3601),Karl Aberer,Software Architecture,2005,Topics: software architecture,software architecture,available
Service oriented Java business integration,C. A. Binildas,Software Architecture,2008,Topics: software architecture,software architecture,available
Advances in information technology,"IAIT 2009 (2009 Bangkok, Thailand)",Software Architecture,2009,Topics: software architecture,software architecture,available
High Availability and Disaster Recovery,Klaus Schmidt,Software Architecture,2006,Topics: software architecture,software architecture,unavailable
Open systems dependability,Mario Tokoro,Software Architecture,2013,Topics: software architecture,software architecture,available
Communication-Based Systems,Günter Hommel,Software Architecture,2000,Topics: software architecture,software architecture,unavailable
Professional COM applications with ATL,Sing Li; Panos Economopoulos,Software Architecture,1998,Topics: software architecture,software architecture,available
Service-Oriented and Cloud Computing,Kung-Kiu Lau; Winfried Lamersdorf; Ernesto Pimentel,Software Architecture,2013,Topics: software architecture,software architecture,available
Networks for Grid Applications,Anastasios Doulamis,Software Architecture,2010,Topics: software architecture,software architecture,available
Frontiers of High Performance Computing and Networking - ISPA 2006 Workshops,"ISPA 2006 (2006 Sorrento, Italy)",Software Architecture,2007,Topics: software architecture,software architecture,available
Event-Triggered and Time-Triggered Control Paradigms (Real-Time Systems Series),Roman Obermaisser,Software Architecture,2004,Topics: software architecture,software architecture,available
The SIM guide to enterprise architecture,Leon Allan Kappelman,Software Architecture,2010,Topics: software architecture,software architecture,unavailable
Expert Service-Oriented Architecture in C#,Jeffrey Hasan,Software Architecture,2004,Topics: software architecture,software architecture,available
CCNP,Robert Padjen; Scott A. Wells,Software Architecture,2003,Topics: software architecture,software architecture,unavailable
